millis,gain_hex,conv_hex,gain_x,conv_ms,uva_raw,uvb_raw,uvc_raw,uva_mw,uvb_mw,uvc_mw,temp_c
24214653,0xB,0x0,1,1,23,1,1,7820.000000,378.000000,166.000000,58.800
24214667,0xB,0x1,1,2,45,1,2,7650.000000,189.000000,166.000000,58.500
24214680,0xB,0x2,1,4,89,1,2,7565.000000,94.500000,83.000000,58.650
24214698,0xB,0x3,1,8,177,2,3,7522.500000,94.500000,62.250000,58.700
24214729,0xB,0x4,1,16,353,3,6,7501.250000,70.875000,62.250000,58.650
24214776,0xB,0x5,1,32,707,5,11,7511.875000,59.062500,57.062500,58.650
24214858,0xB,0x6,1,64,1412,9,21,7501.250000,53.156250,54.468750,58.650
24215008,0xB,0x7,1,128,2823,18,41,7498.594238,53.156250,53.171875,58.700
24215300,0xB,0x8,1,256,5644,36,81,7495.937500,53.156250,52.523438,58.700
24215871,0xB,0x9,1,512,11286,71,161,7494.609375,52.417969,52.199219,58.650
24217009,0xB,0xA,1,1024,22566,141,322,7492.617188,52.048828,52.199219,58.650
24219266,0xB,0xB,1,2048,45117,281,642,7490.126953,51.864258,52.037109,58.550
24223775,0xB,0xC,1,4096,65535,560,1283,5439.916992,51.679688,51.996582,58.700
24232783,0xB,0xD,1,8192,65535,1120,2565,2719.958496,51.679688,51.976322,58.450
24250783,0xB,0xE,1,16384,65535,2239,5128,1359.979248,51.656616,51.956055,58.550
24251796,0xA,0x0,2,1,45,1,2,7650.000000,189.000000,166.000000,58.800
24251809,0xA,0x1,2,2,89,1,3,7565.000000,94.500000,124.500000,58.800
24251822,0xA,0x2,2,4,178,2,4,7565.000000,94.500000,83.000000,58.900
24251841,0xA,0x3,2,8,355,3,6,7543.750000,70.875000,62.250000,58.900
24251871,0xA,0x4,2,16,708,5,11,7522.500000,59.062500,57.062500,58.900
24251919,0xA,0x5,2,32,1416,10,21,7522.500000,59.062500,54.468750,58.850
24252000,0xA,0x6,2,64,2830,18,42,7517.187500,53.156250,54.468750,58.800
24252151,0xA,0x7,2,128,5660,36,82,7517.187500,53.156250,53.171875,58.850
24252444,0xA,0x8,2,256,11320,71,162,7517.187500,52.417969,52.523438,58.900
24253017,0xA,0x9,2,512,22637,141,323,7516.191406,52.048828,52.361328,58.950
24254149,0xA,0xA,2,1024,45271,282,645,7515.693359,52.048828,52.280273,58.900
24256410,0xA,0xB,2,2048,65535,563,1289,5439.916992,51.956543,52.239746,58.950
24260916,0xA,0xC,2,4096,65535,1125,2577,2719.958496,51.910397,52.219486,58.950
24269922,0xA,0xD,2,8192,65535,2249,5153,1359.979248,51.887329,52.209351,58.850
24287918,0xA,0xE,2,16384,65535,4497,10305,679.989624,51.875793,52.204285,58.900
24288931,0x9,0x0,4,1,89,2,3,7565.000000,189.000000,124.500000,59.000
24288944,0x9,0x1,4,2,179,2,4,7607.500000,94.500000,83.000000,58.900
24288958,0x9,0x2,4,4,356,4,7,7565.000000,94.500000,72.625000,58.950
24288977,0x9,0x3,4,8,710,6,12,7543.750000,70.875000,62.250000,58.950
24289007,0x9,0x4,4,16,1418,10,22,7533.125000,59.062500,57.062500,59.000
24289055,0x9,0x5,4,32,2835,19,42,7530.469238,56.109375,54.468750,58.950
24289137,0x9,0x6,4,64,5669,36,83,7529.140625,53.156250,53.820313,58.950
24289287,0x9,0x7,4,128,11336,72,163,7527.812500,53.156250,52.847656,58.950
24289578,0x9,0x8,4,256,22669,142,325,7526.816406,52.417969,52.685547,59.000
24290151,0x9,0x9,4,512,45336,282,647,7526.484375,52.048828,52.442383,58.950
24291283,0x9,0xA,4,1024,65535,563,1292,5439.916992,51.956543,52.361328,59.000
24293539,0x9,0xB,4,2048,65535,1124,2582,2719.958496,51.864258,52.320801,58.850
24298040,0x9,0xC,4,4096,65535,2247,5162,1359.979248,51.841187,52.300541,58.850
24307035,0x9,0xD,4,8192,65535,4492,10322,679.989624,51.818119,52.290405,58.800
24325018,0x9,0xE,4,16384,65535,8982,20639,339.994812,51.806580,52.277740,58.850
24326031,0x8,0x0,8,1,180,3,6,7650.000000,141.750000,124.500000,58.800
24326045,0x8,0x1,8,2,358,4,9,7607.500000,94.500000,93.375000,58.800
24326058,0x8,0x2,8,4,713,7,14,7575.625000,82.687500,72.625000,58.900
24326077,0x8,0x3,8,8,1425,11,24,7570.312500,64.968750,62.250000,58.900
24326107,0x8,0x4,8,16,2846,19,43,7559.687500,56.109375,55.765625,58.950
24326154,0x8,0x5,8,32,5689,37,84,7555.703125,54.632813,54.468750,58.950
24326237,0x8,0x6,8,64,11378,73,165,7555.703125,53.894531,53.496094,58.950
24326387,0x8,0x7,8,128,22751,143,327,7554.042969,52.787109,53.009766,58.950
24326679,0x8,0x8,8,256,45500,284,651,7553.710938,52.417969,52.766602,58.950
24327251,0x8,0x9,8,512,65535,566,1299,5439.916992,52.233398,52.645020,58.900
24328383,0x8,0xA,8,1024,65535,1130,2595,2719.958496,52.141113,52.584225,58.850
24330639,0x8,0xB,8,2048,65535,2258,5186,1359.979248,52.094967,52.543705,58.750
24335144,0x8,0xC,8,4096,65535,4513,10369,679.989624,52.060364,52.528503,58.950
24344141,0x8,0xD,8,8192,65535,9023,20734,339.994812,52.043060,52.518372,59.200
24362120,0x8,0xE,8,16384,65535,18042,41456,169.997406,52.031525,52.503170,59.350
24363133,0x7,0x0,16,1,358,5,10,7607.500000,118.125000,103.750000,58.600
24363146,0x7,0x1,16,2,714,8,16,7586.250000,94.500000,83.000000,58.800
24363160,0x7,0x2,16,4,1423,13,27,7559.687500,76.781250,70.031250,58.800
24363178,0x7,0x3,16,8,2843,21,47,7551.719238,62.015625,60.953125,58.750
24363209,0x7,0x4,16,16,5680,38,86,7543.750000,56.109375,55.765625,58.800
24363256,0x7,0x5,16,32,11356,74,168,7541.094238,54.632813,54.468750,58.700
24363337,0x7,0x6,16,64,22705,145,330,7538.769531,53.525391,53.496094,58.800
