millis,gain_hex,conv_hex,gain_x,conv_ms,uva_raw,uvb_raw,uvc_raw,uva_mw,uvb_mw,uvc_mw,temp_c
26900194,0xB,0x0,1,1,7,1,1,2380.000000,378.000000,166.000000,35.600
26900207,0xB,0x1,1,2,13,1,1,2210.000000,189.000000,83.000000,35.600
26900220,0xB,0x2,1,4,25,1,1,2125.000000,94.500000,41.500000,35.550
26900240,0xB,0x3,1,8,50,1,2,2125.000000,47.250000,41.500000,35.500
26900271,0xB,0x4,1,16,99,1,3,2103.750000,23.625000,31.125000,35.550
26900318,0xB,0x5,1,32,197,2,4,2093.125000,23.625000,20.750000,35.500
26900400,0xB,0x6,1,64,394,4,8,2093.125000,23.625000,20.750000,35.550
26900550,0xB,0x7,1,128,787,6,15,2090.468750,17.718750,19.453125,35.600
26900844,0xB,0x8,1,256,1574,12,29,2090.468750,17.718750,18.804688,35.550
26901415,0xB,0x9,1,512,3147,23,57,2089.804688,16.980469,18.480469,35.600
26902554,0xB,0xA,1,1024,6292,45,114,2089.140625,16.611328,18.480469,35.650
26904815,0xB,0xB,1,2048,12582,90,227,2088.808594,16.611328,18.399414,35.700
26909333,0xB,0xC,1,4096,25141,180,454,2086.899414,16.611328,18.399414,35.750
26918352,0xB,0xD,1,8192,50278,359,907,2086.733398,16.565186,18.379150,35.850
26936380,0xB,0xE,1,16384,65535,717,1812,1359.979248,16.542112,18.358887,36.050
26937393,0xA,0x0,2,1,13,1,1,2210.000000,189.000000,83.000000,36.400
26937406,0xA,0x1,2,2,26,1,2,2210.000000,94.500000,83.000000,36.400
26937419,0xA,0x2,2,4,50,1,2,2125.000000,47.250000,41.500000,36.400
26937438,0xA,0x3,2,8,100,2,3,2125.000000,47.250000,31.125000,36.350
26937468,0xA,0x4,2,16,198,2,5,2103.750000,23.625000,25.937500,36.350
26937516,0xA,0x5,2,32,396,4,8,2103.750000,23.625000,20.750000,36.350
26937597,0xA,0x6,2,64,790,7,15,2098.437500,20.671875,19.453125,36.350
26937748,0xA,0x7,2,128,1580,12,30,2098.437500,17.718750,19.453125,36.300
26938041,0xA,0x8,2,256,3160,23,58,2098.437500,16.980469,18.804688,36.350
26938614,0xA,0x9,2,512,6318,46,115,2097.773438,16.980469,18.642578,36.300
26939752,0xA,0xA,2,1024,12631,91,229,2096.943359,16.795898,18.561523,36.400
26942013,0xA,0xB,2,2048,25269,181,456,2097.524414,16.703613,18.480469,36.350
26946527,0xA,0xC,2,4096,50527,361,911,2097.067871,16.657471,18.460205,36.450
26955550,0xA,0xD,2,8192,65535,720,1821,1359.979248,16.611328,18.450075,36.500
26973582,0xA,0xE,2,16384,65535,1440,3641,679.989624,16.611328,18.445007,36.700
26974595,0x9,0x0,4,1,26,1,2,2210.000000,94.500000,83.000000,37.000
26974608,0x9,0x1,4,2,51,2,3,2167.500000,94.500000,62.250000,37.000
26974621,0x9,0x2,4,4,100,2,4,2125.000000,47.250000,41.500000,36.900
26974640,0x9,0x3,4,8,199,3,6,2114.375000,35.437500,31.125000,36.900
26974671,0x9,0x4,4,16,397,4,9,2109.062500,23.625000,23.343750,36.900
26974718,0x9,0x5,4,32,792,7,16,2103.750000,20.671875,20.750000,36.900
26974800,0x9,0x6,4,64,1583,13,30,2102.422119,19.195313,19.453125,36.900
26974950,0x9,0x7,4,128,3164,24,59,2101.093750,17.718750,19.128906,36.900
26975242,0x9,0x8,4,256,6328,46,116,2101.093750,16.980469,18.804688,36.900
26975814,0x9,0x9,4,512,12655,91,230,2100.927734,16.795898,18.642578,36.850
26976952,0x9,0xA,4,1024,25314,181,458,2101.259766,16.703613,18.561523,36.900
26979214,0x9,0xB,4,2048,50626,361,914,2101.176758,16.657471,18.520996,36.900
26983725,0x9,0xC,4,4096,65535,721,1826,1359.979248,16.634398,18.500732,36.900
26992740,0x9,0xD,4,8192,65535,1441,3651,679.989624,16.622864,18.495667,36.950
27010755,0x9,0xE,4,16384,65535,2880,7300,339.994812,16.611328,18.490602,37.100
27011768,0x8,0x0,8,1,52,2,4,2210.000000,94.500000,83.000000,37.200
27011781,0x8,0x1,8,2,101,3,5,2146.250000,70.875000,51.875000,37.100
27011794,0x8,0x2,8,4,201,4,7,2135.625000,47.250000,36.312500,37.200
27011813,0x8,0x3,8,8,399,5,11,2119.687500,29.531250,28.531250,37.200
27011843,0x8,0x4,8,16,795,8,17,2111.718750,23.625000,22.046875,37.200
27011891,0x8,0x5,8,32,1589,13,32,2110.390381,19.195313,20.750000,37.200
27011973,0x8,0x6,8,64,3176,25,61,2109.062500,18.457031,19.777344,37.200
27012123,0x8,0x7,8,128,6348,47,118,2107.734619,17.349609,19.128906,37.200
27012416,0x8,0x8,8,256,12696,92,232,2107.734619,16.980469,18.804688,37.250
27012988,0x8,0x9,8,512,25401,183,462,2108.481445,16.888184,18.723633,37.200
27014124,0x8,0xA,8,1024,50802,364,920,2108.481445,16.795898,18.642578,37.200
27016384,0x8,0xB,8,2048,65535,725,1836,1359.979248,16.726683,18.602051,37.150
27020894,0x8,0xC,8,4096,65535,1448,3668,679.989624,16.703613,18.581787,37.250
27029907,0x8,0xD,8,8192,65535,2894,7333,339.994812,16.692078,18.574188,37.200
27047924,0x8,0xE,8,16384,65535,5786,14663,169.997406,16.686310,18.570389,37.350
27048937,0x7,0x0,16,1,102,4,7,2167.500000,94.500000,72.625000,37.600
27048950,0x7,0x1,16,2,202,5,10,2146.250000,59.062500,51.875000,37.400
27048963,0x7,0x2,16,4,400,7,14,2125.000000,41.343750,36.312500,37.400
27048982,0x7,0x3,16,8,796,9,21,2114.375000,26.578125,27.234375,37.450
27049013,0x7,0x4,16,16,1587,14,34,2107.734619,20.671875,22.046875,37.400
27049060,0x7,0x5,16,32,3171,26,63,2105.742188,19.195313,20.425781,37.450
27049142,0x7,0x6,16,64,6339,49,121,2104.746094,18.087891,19.615234,37.400
27049291,0x7,0x7,16,128,12674,94,235,2104.082031,17.349609,19.047852,37.400
27049584,0x7,0x8,16,256,25345,184,464,2103.833008,16.980469,18.804688,37.350
27050156,0x7,0x9,16,512,50680,366,923,2103.417969,16.888184,18.703369,37.400
27051293,0x7,0xA,16,1024,65535,727,1838,1359.979248,16.772829,18.622314,37.400
27053554,0x7,0xB,16,2048,65535,1451,3671,679.989624,16.738220,18.596985,37.400
27058064,0x7,0xC,16,4096,65535,2898,7336,339.994812,16.715149,18.581787,37.400
27067075,0x7,0xD,16,8192,65535,5793,14668,169.997406,16.706497,18.576721,37.450
27085086,0x7,0xE,16,16384,65535,11582,29330,84.998703,16.700729,18.572922,37.450
27086099,0x6,0x0,32,1,205,7,13,2178.125000,82.687500,67.437500,37.600
27086113,0x6,0x1,32,2,406,10,19,2156.875000,59.062500,49.281250,37.600
27086126,0x6,0x2,32,4,805,13,27,2138.281250,38.390625,35.015625,37.550
27086145,0x6,0x3,32,8,1603,19,41,2128.984619,28.054688,26.585938,37.500
27086175,0x6,0x4,32,16,3194,29,68,2121.015381,21.410156,22.046875,37.500
27086222,0x6,0x5,32,32,6383,52,126,2119.355469,19.195313,20.425781,37.500
27086304,0x6,0x6,32,64,12767,98,242,2119.521484,18.087891,19.615234,37.550
27086454,0x6,0x7,32,128,25534,189,472,2119.521484,17.441895,19.128906,37.550
27086747,0x6,0x8,32,256,51058,370,932,2119.106445,17.072754,18.885742,37.450
27087321,0x6,0x9,32,512,65535,734,1853,1359.979248,16.934326,18.774294,37.500
27088458,0x6,0xA,32,1024,65535,1460,3693,679.989624,16.842041,18.708435,37.550
27090721,0x6,0xB,32,2048,65535,2913,7373,339.994812,16.801666,18.675507,37.550
27095233,0x6,0xC,32,4096,65535,5821,14738,169.997406,16.787247,18.665375,37.550
27104245,0x6,0xD,32,8192,65535,11634,29462,84.998703,16.775711,18.656509,37.550
27122258,0x6,0xE,32,16384,65535,23263,58919,42.499352,16.772106,18.654926,37.550
27123271,0x5,0x0,64,1,411,14,27,2183.437500,82.687500,70.031250,37.800
27123285,0x5,0x1,64,2,814,19,38,2162.187500,56.109375,49.281250,37.700
27123298,0x5,0x2,64,4,1616,25,54,2146.250000,36.914063,35.015625,37.650
27123317,0x5,0x3,64,8,3219,36,82,2137.617188,26.578125,26.585938,37.700
27123347,0x5,0x4,64,16,6422,57,136,2132.304688,21.041016,22.046875,37.600
27123395,0x5,0x5,64,32,12832,103,253,2130.312500,19.010742,20.506836,37.600
27123477,0x5,0x6,64,64,25655,196,486,2129.565430,18.087891,19.696289,37.650
27123627,0x5,0x7,64,128,51292,379,950,2128.818359,17.488037,19.250488,37.650
27123920,0x5,0x8,64,256,65535,744,1875,1359.979248,17.165039,18.997190,37.650
27124493,0x5,0x9,64,512,65535,1475,3727,679.989624,17.015076,18.880676,37.600
27125630,0x5,0xA,64,1024,65535,2934,7424,339.994812,16.922791,18.804688,37.650
27127893,0x5,0xB,64,2048,65535,5855,14828,169.997406,16.885300,18.779358,37.650
27132403,0x5,0xC,64,4096,65535,11700,29640,84.998703,16.870880,18.769226,37.700
27141415,0x5,0xD,64,8192,65535,23386,59251,42.499352,16.860786,18.760044,37.700
27159425,0x5,0xE,64,16384,65535,46764,65535,21.249676,16.857903,10.374842,37.650
27160438,0x4,0x0,128,1,827,28,54,2196.718750,82.687500,70.031250,37.600
27160451,0x4,0x1,128,2,1636,37,76,2172.812500,54.632813,49.281250,37.800
27160464,0x4,0x2,128,4,3246,50,108,2155.547119,36.914063,35.015625,37.700
