millis,gain_hex,conv_hex,gain_x,conv_ms,uva_raw,uvb_raw,uvc_raw,uva_mw,uvb_mw,uvc_mw,temp_c
19069304,0x5,0x0,64,1,11,11,20,58.437500,64.968750,51.875000,45.400
19069317,0x5,0x1,64,2,13,14,24,34.531250,41.343750,31.125000,45.500
19069331,0x5,0x2,64,4,14,14,26,18.593750,20.671875,16.859375,45.500
19069350,0x5,0x3,64,8,14,14,26,9.296875,10.335938,8.429688,45.450
19069380,0x5,0x4,64,16,14,14,25,4.648438,5.167969,4.052734,45.500
19069427,0x5,0x5,64,32,14,14,26,2.324219,2.583984,2.107422,45.450
19069509,0x5,0x6,64,64,14,14,26,1.162109,1.291992,1.053711,45.450
19069659,0x5,0x7,64,128,14,14,26,0.581055,0.645996,0.526855,45.500
19069952,0x5,0x8,64,256,15,15,27,0.311279,0.346069,0.273560,45.450
19070524,0x5,0x9,64,512,15,15,27,0.155640,0.173035,0.136780,45.350
19071661,0x5,0xA,64,1024,16,16,29,0.083008,0.092285,0.073456,45.250
19073923,0x5,0xB,64,2048,18,18,32,0.046692,0.051910,0.040527,45.000
19078432,0x5,0xC,64,4096,22,22,40,0.028534,0.031723,0.025330,44.600
19087441,0x5,0xD,64,8192,28,28,51,0.018158,0.020187,0.016148,43.800
19105454,0x5,0xE,64,16384,38,38,69,0.012321,0.013699,0.010923,42.300
19106467,0x4,0x0,128,1,22,22,40,58.437500,64.968750,51.875000,39.800
19106480,0x4,0x1,128,2,27,27,48,35.859375,39.867188,31.125000,39.800
19106493,0x4,0x2,128,4,28,28,51,18.593750,20.671875,16.535156,39.700
19106512,0x4,0x3,128,8,28,28,51,9.296875,10.335938,8.267578,39.800
19106542,0x4,0x4,128,16,28,28,50,4.648438,5.167969,4.052734,39.800
19106590,0x4,0x5,128,32,28,28,50,2.324219,2.583984,2.026367,39.750
19106671,0x4,0x6,128,64,27,28,50,1.120605,1.291992,1.013184,39.800
19106822,0x4,0x7,128,128,28,28,51,0.581055,0.645996,0.516724,39.700
19107115,0x4,0x8,128,256,29,29,52,0.300903,0.334534,0.263428,39.700
19107689,0x4,0x9,128,512,29,29,52,0.150452,0.167267,0.131714,39.650
19108827,0x4,0xA,128,1024,31,31,55,0.080414,0.089401,0.069656,39.650
19111087,0x4,0xB,128,2048,34,34,60,0.044098,0.049026,0.037994,39.450
19115598,0x4,0xC,128,4096,40,40,70,0.025940,0.028839,0.022163,39.200
19124612,0x4,0xD,128,8192,51,51,87,0.016537,0.018385,0.013773,38.800
19142630,0x4,0xE,128,16384,70,70,117,0.011349,0.012617,0.009261,37.900
19143644,0x3,0x0,256,1,43,43,78,57.109375,63.492188,50.578125,36.000
19143657,0x3,0x1,256,2,51,51,93,33.867188,37.652344,30.152344,36.300
19143670,0x3,0x2,256,4,54,55,99,17.929688,20.302734,16.048828,36.250
19143689,0x3,0x3,256,8,54,54,98,8.964844,9.966797,7.943359,36.250
19143719,0x3,0x4,256,16,55,55,100,4.565430,5.075684,4.052734,36.250
19143767,0x3,0x5,256,32,54,54,98,2.241211,2.491699,1.985840,36.300
19143848,0x3,0x6,256,64,54,55,99,1.120605,1.268921,1.003052,36.200
19143999,0x3,0x7,256,128,55,55,100,0.570679,0.634460,0.506592,36.250
19144292,0x3,0x8,256,256,55,56,100,0.285339,0.322998,0.253296,36.250
19144869,0x3,0x9,256,512,57,57,104,0.147858,0.164383,0.131714,36.250
19146008,0x3,0xA,256,1024,60,60,108,0.077820,0.086517,0.068390,36.200
19148279,0x3,0xB,256,2048,65,66,118,0.042152,0.047585,0.037361,36.100
19152810,0x3,0xC,256,4096,76,76,134,0.024643,0.027397,0.021214,35.950
19161863,0x3,0xD,256,8192,97,97,168,0.015726,0.017484,0.013298,35.650
19179955,0x3,0xE,256,16384,133,132,225,0.010781,0.011896,0.008905,35.000
19180968,0x2,0x0,512,1,85,86,151,56.445313,63.492188,48.957031,33.800
19180981,0x2,0x1,512,2,104,104,184,34.531250,38.390625,29.828125,34.100
19180995,0x2,0x2,512,4,108,108,192,17.929688,19.933594,15.562500,34.050
19181014,0x2,0x3,512,8,109,109,194,9.047852,10.059082,7.862305,34.050
19181044,0x2,0x4,512,16,109,110,196,4.523926,5.075684,3.971680,34.050
19181091,0x2,0x5,512,32,108,108,192,2.241211,2.491699,1.945313,34.050
19181173,0x2,0x6,512,64,108,109,193,1.120605,1.257385,0.977722,34.000
19181328,0x2,0x7,512,128,110,111,196,0.570679,0.640228,0.496460,34.050
19181622,0x2,0x8,512,256,109,110,195,0.282745,0.317230,0.246964,34.050
19182200,0x2,0x9,512,512,115,115,203,0.149155,0.165825,0.128548,34.000
19183340,0x2,0xA,512,1024,121,121,213,0.078468,0.087238,0.067440,33.950
19185614,0x2,0xB,512,2048,129,129,223,0.041828,0.046503,0.035303,33.950
19190144,0x2,0xC,512,4096,153,152,259,0.024805,0.027397,0.020501,33.900
19199198,0x2,0xD,512,8192,196,194,322,0.015888,0.017484,0.012744,33.700
19217299,0x2,0xE,512,16384,279,275,444,0.011308,0.012392,0.008786,33.250
19218312,0x1,0x0,1024,1,162,162,284,53.789063,59.800781,46.039063,32.800
19218325,0x1,0x1,1024,2,196,197,347,32.539063,36.360352,28.125977,32.700
19218338,0x1,0x2,1024,4,208,208,367,17.265625,19.195313,14.873535,32.700
19218357,0x1,0x3,1024,8,204,205,361,8.466797,9.459229,7.315186,32.700
19218388,0x1,0x4,1024,16,207,207,365,4.295654,4.775757,3.698120,32.650
19218435,0x1,0x5,1024,32,205,206,363,2.127075,2.376343,1.838928,32.700
19218517,0x1,0x6,1024,64,205,206,362,1.063538,1.188171,0.916931,32.600
19218671,0x1,0x7,1024,128,207,208,366,0.536957,0.599854,0.463531,32.600
19218964,0x1,0x8,1024,256,213,214,375,0.276260,0.308578,0.237465,32.650
19219537,0x1,0x9,1024,512,218,219,382,0.141373,0.157894,0.120949,32.600
19220680,0x1,0xA,1024,1024,230,230,399,0.074577,0.082912,0.063166,32.650
19222953,0x1,0xB,1024,2048,250,249,427,0.040531,0.044881,0.033799,32.650
19227484,0x1,0xC,1024,4096,296,295,495,0.023994,0.026586,0.019591,32.550
19236537,0x1,0xD,1024,8192,391,388,633,0.015848,0.017484,0.012526,32.450
19254634,0x1,0xE,1024,16384,565,558,886,0.011450,0.012572,0.008766,32.150
19255647,0x0,0x0,2048,1,301,301,508,49.970703,55.555664,41.175781,31.600
19255660,0x0,0x1,2048,2,366,367,626,30.380859,33.868652,25.370117,31.600
19255673,0x0,0x2,2048,4,386,386,662,16.020508,17.811035,13.414551,31.650
19255692,0x0,0x3,2048,8,389,389,667,8.072510,8.974731,6.757935,31.650
19255722,0x0,0x4,2048,16,387,387,663,4.015503,4.464294,3.358704,31.650
19255770,0x0,0x5,2048,32,387,387,663,2.007751,2.232147,1.679352,31.600
19255852,0x0,0x6,2048,64,389,390,667,1.009064,1.124725,0.844742,31.600
19256002,0x0,0x7,2048,128,390,390,668,0.505829,0.562363,0.423004,31.650
