
functionGeneratorPerformance.ino
FUNCTIONGENERATOR_LIB_VERSION: 0.3.0

indicative output Arduino UNO 1.8.19, 16 MHz.

| wave form name |  usec  |  max calls/sec  |
|:---------------|-------:|----------------:|
| square         |  54.57 |       18325.49  |
| sawtooth       |  61.69 |       16210.61  |
| triangle       |  79.80 |       12531.96  |
| sinus          | 166.38 |        6010.37  |
| stair          |  80.86 |       12366.38  |
| random         |  42.61 |       23466.69  |
| random_DC      |  67.18 |       14885.12  |
| line           |   0.76 |     1322751.37  |
| zero           |   0.75 |     1324854.25  |
| sinusDiode     | 169.93 |        5884.79  |
| sinusRectified | 169.49 |        5900.03  |
| trapezium1     | 100.98 |        9903.30  |
| trapezium2     | 143.98 |        6945.58  |
| heartBeat      | 128.52 |        7780.77  |
| freeWave       |  75.52 |       13241.31  |



t 	 sqr	 saw	 tri	 sin	 str	 rnd	 line	 zero	 sinD	 sinR	 trap
-4.00	-1.00	1.00	-1.00	-0.00	1.00	0.50	1.00	0.00	0.00	0.00	-1.00
-3.98	1.00	-0.96	-0.92	0.13	-1.00	0.06	1.00	0.00	0.13	0.13	-1.00
-3.96	1.00	-0.92	-0.84	0.25	-1.00	0.34	1.00	0.00	0.25	0.25	-1.00
-3.94	1.00	-0.88	-0.76	0.37	-1.00	0.33	1.00	0.00	0.37	0.37	-1.00
-3.92	1.00	-0.84	-0.68	0.48	-1.00	0.95	1.00	0.00	0.48	0.48	-1.00
-3.90	1.00	-0.80	-0.60	0.59	-1.00	0.75	1.00	0.00	0.59	0.59	-1.00
-3.88	1.00	-0.76	-0.52	0.68	-1.00	0.20	1.00	0.00	0.68	0.68	-1.00
-3.86	1.00	-0.72	-0.44	0.77	-0.71	0.33	1.00	0.00	0.77	0.77	-1.00
-3.84	1.00	-0.68	-0.36	0.84	-0.71	0.25	1.00	0.00	0.84	0.84	-1.00
-3.82	1.00	-0.64	-0.28	0.90	-0.71	0.39	1.00	0.00	0.90	0.90	-1.00
-3.80	1.00	-0.60	-0.20	0.95	-0.71	0.42	1.00	0.00	0.95	0.95	-1.00
-3.78	1.00	-0.56	-0.12	0.98	-0.71	0.95	1.00	0.00	0.98	0.98	-1.00
-3.76	1.00	-0.52	-0.04	1.00	-0.71	0.56	1.00	0.00	1.00	1.00	-1.00
-3.74	1.00	-0.48	0.04	1.00	-0.43	0.64	1.00	0.00	1.00	1.00	-0.92
-3.72	1.00	-0.44	0.12	0.98	-0.43	0.17	1.00	0.00	0.98	0.98	-0.76
-3.70	1.00	-0.40	0.20	0.95	-0.43	0.78	1.00	0.00	0.95	0.95	-0.60
-3.68	1.00	-0.36	0.28	0.90	-0.43	0.02	1.00	0.00	0.90	0.90	-0.44
-3.66	1.00	-0.32	0.36	0.84	-0.43	0.31	1.00	0.00	0.84	0.84	-0.28
-3.64	1.00	-0.28	0.44	0.77	-0.43	0.49	1.00	0.00	0.77	0.77	-0.12
-3.62	1.00	-0.24	0.52	0.68	-0.14	0.09	1.00	0.00	0.68	0.68	0.04
-3.60	1.00	-0.20	0.60	0.59	-0.14	0.21	1.00	0.00	0.59	0.59	0.20
-3.58	1.00	-0.16	0.68	0.48	-0.14	0.82	1.00	0.00	0.48	0.48	0.36
-3.56	1.00	-0.12	0.76	0.37	-0.14	0.51	1.00	0.00	0.37	0.37	0.52
-3.54	1.00	-0.08	0.84	0.25	-0.14	0.74	1.00	0.00	0.25	0.25	0.68
-3.52	1.00	-0.04	0.92	0.13	-0.14	0.20	1.00	0.00	0.13	0.13	0.84
