BOARD:    UNO R3
IDE:      1.8.19


Arduino\libraries\MultiMap\examples\multimap_BS_compare\multimap_BS_compare.ino
MULTIMAP_LIB_VERSION: 0.2.1

size	t1	t2	ratio
4	5616	5596	99.64
5	6204	6204	100.00
6	6804	6832	100.41
7	7436	7464	100.38
8	8096	8088	99.90
9	8772	8720	99.41
10	9476	9364	98.82
11	10204	10020	98.20
12	10956	10664	97.33
13	11728	11320	96.52
14	12528	11968	95.53
15	13348	12628	94.61
16	14196	13276	93.52
17	15060	13924	92.46
18	15948	14600	91.55
19	16860	15276	90.60
20	17808	15948	89.56
21	18772	16628	88.58
22	19752	17300	87.59
23	20760	17972	86.57
24	21792	18652	85.59
25	22852	19332	84.60
26	23924	20004	83.61
27	25032	20676	82.60
28	26156	21356	81.65
29	27312	22028	80.65
30	28476	22712	79.76
31	29680	23388	78.80
32	30896	24064	77.89
33	32140	24736	76.96
34	33408	25436	76.14
35	34704	26132	75.30
36	36016	26828	74.49
37	37360	27524	73.67
38	38720	28220	72.88
39	40104	28916	72.10
40	41516	29620	71.35
41	42944	30316	70.59
42	44400	31016	69.86
43	45880	31716	69.13
44	47388	32408	68.39
45	48904	33116	67.72
46	50456	33808	67.00
47	52036	34512	66.32
48	53632	35208	65.65
49	55252	35908	64.99
50	56896	36608	64.34
51	58560	37308	63.71
52	60256	38004	63.07
53	61964	38708	62.47
54	63708	39400	61.84
55	65468	40104	61.26
56	67248	40804	60.68
57	69064	41500	60.09
58	70892	42200	59.53
59	72748	42900	58.97
60	74628	43604	58.43
61	76532	44300	57.88
62	78460	45000	57.35
63	80408	45700	56.84
64	82380	46404	56.33
65	84376	47108	55.83
66	86392	47828	55.36
67	88440	48544	54.89
68	90508	49264	54.43
69	92596	49984	53.98
70	94716	50700	53.53
71	96844	51424	53.10
72	99008	52148	52.67
73	101196	52872	52.25
74	103400	53588	51.83
75	105636	54308	51.41
76	107892	55028	51.00
77	110164	55760	50.62
78	112472	56476	50.21
79	114796	57200	49.83
80	117148	57916	49.44
81	119520	58644	49.07
82	121912	59364	48.69
83	124332	60088	48.33
84	126780	60812	47.97
85	129244	61532	47.61
86	131740	62252	47.25
87	134248	62976	46.91
88	136784	63700	46.57
89	139348	64420	46.23
90	141936	65136	45.89
91	144540	65864	45.57
92	147172	66588	45.25
93	149832	67304	44.92
94	152508	68028	44.61
95	152704	68132	44.62
96	152708	68156	44.63
97	152708	68208	44.67
98	152704	68208	44.67
99	152704	68236	44.69
