
IDE:    1.8.19
BOARD:  UNO R3

Student_confidence.ino
STUDENT_LIB_VERSION: 0.1.2

Size:	20
Count:	10
mean:	12.000
var:	0.073
dev:	0.271
E dev:	0.086

Conf	MeanLow	MeanUp	Range
80	11.883	12.117	0.235
81	11.879	12.121	0.243
82	11.875	12.125	0.250
83	11.871	12.129	0.258
84	11.867	12.133	0.265
85	11.864	12.136	0.273
86	11.860	12.140	0.280
87	11.856	12.144	0.288
88	11.852	12.148	0.295
89	11.849	12.151	0.303
90	11.845	12.155	0.310
91	11.838	12.162	0.325
92	11.831	12.169	0.339
93	11.823	12.177	0.353
94	11.816	12.184	0.367
95	11.809	12.191	0.382
96	11.794	12.206	0.412
97	11.779	12.221	0.443
98	11.763	12.237	0.473
99	11.729	12.271	0.543

done...
