IDE:    1.8.19
BOARD:  UNO


TCA9555_performance\TCA9555_performance.ino
TCA9555_LIB_VERSION: 0.4.3

CLOCK	read1	read8	read16	write1	write8	write16
50	860.16	860.16	1720.32	860.16	619.64	1239.24
100	463.65	463.52	926.19	464.67	334.57	669.16
150	328.34	328.21	657.68	329.17	238.06	476.04
200	267.16	267.16	534.27	267.17	191.75	382.86
250	226.06	226.04	452.04	227.57	162.52	325.79
300	196.83	196.80	393.46	195.89	141.23	281.26
350	178.10	178.09	355.88	178.08	126.60	252.93
400	169.58	169.55	335.65	168.63	119.48	238.75
450	152.22	152.23	304.43	152.91	107.81	216.20
500	147.34	147.34	294.45	147.91	104.74	208.94
550	138.73	138.74	277.71	140.28	98.90	197.54
600	137.38	137.36	274.30	137.76	96.87	194.70
650	132.19	132.18	264.26	132.89	93.81	187.37
700	129.12	129.12	257.11	130.34	91.43	182.86
750	124.88	124.90	249.76	125.38	87.88	175.54
800	124.89	124.88	249.77	125.39	87.87	175.54
850	120.50	120.44	240.63	120.50	85.33	170.64
900	48.78	48.76	97.55	100.94	52.38	104.50
950	48.77	48.76	97.54	100.94	52.37	104.49
1000	48.80	48.78	97.55	100.95	52.38	104.49


done...

