TLC5917_gain_table.ino
TLC5917_LIB_VERSION: 	0.1.2


	CONF	VGAIN	CGAIN

	0	0.250	0.250
	1	0.254	0.254
	2	0.258	0.258
	3	0.262	0.262
	4	0.266	0.266
	5	0.270	0.270
	6	0.273	0.273
	7	0.277	0.277
	8	0.281	0.281
	9	0.285	0.285
	10	0.289	0.289
	11	0.293	0.293
	12	0.297	0.297
	13	0.301	0.301
	14	0.305	0.305
	15	0.309	0.309

	16	0.312	0.312
	17	0.316	0.316
	18	0.320	0.320
	19	0.324	0.324
	20	0.328	0.328
	21	0.332	0.332
	22	0.336	0.336
	23	0.340	0.340
	24	0.344	0.344
	25	0.348	0.348
	26	0.352	0.352
	27	0.355	0.355
	28	0.359	0.359
	29	0.363	0.363
	30	0.367	0.367
	31	0.371	0.371

	32	0.375	0.375
	33	0.379	0.379
	34	0.383	0.383
	35	0.387	0.387
	36	0.391	0.391
	37	0.395	0.395
	38	0.398	0.398
	39	0.402	0.402
	40	0.406	0.406
	41	0.410	0.410
	42	0.414	0.414
	43	0.418	0.418
	44	0.422	0.422
	45	0.426	0.426
	46	0.430	0.430
	47	0.434	0.434

	48	0.438	0.438
	49	0.441	0.441
	50	0.445	0.445
	51	0.449	0.449
	52	0.453	0.453
	53	0.457	0.457
	54	0.461	0.461
	55	0.465	0.465
	56	0.469	0.469
	57	0.473	0.473
	58	0.477	0.477
	59	0.480	0.480
	60	0.484	0.484
	61	0.488	0.488
	62	0.492	0.492
	63	0.496	0.496

	64	0.500	0.500
	65	0.508	0.508
	66	0.516	0.516
	67	0.523	0.523
	68	0.531	0.531
	69	0.539	0.539
	70	0.547	0.547
	71	0.555	0.555
	72	0.563	0.563
	73	0.570	0.570
	74	0.578	0.578
	75	0.586	0.586
	76	0.594	0.594
	77	0.602	0.602
	78	0.609	0.609
	79	0.617	0.617

	80	0.625	0.625
	81	0.633	0.633
	82	0.641	0.641
	83	0.648	0.648
	84	0.656	0.656
	85	0.664	0.664
	86	0.672	0.672
	87	0.680	0.680
	88	0.688	0.688
	89	0.695	0.695
	90	0.703	0.703
	91	0.711	0.711
	92	0.719	0.719
	93	0.727	0.727
	94	0.734	0.734
	95	0.742	0.742

	96	0.750	0.750
	97	0.758	0.758
	98	0.766	0.766
	99	0.773	0.773
	100	0.781	0.781
	101	0.789	0.789
	102	0.797	0.797
	103	0.805	0.805
	104	0.813	0.813
	105	0.820	0.820
	106	0.828	0.828
	107	0.836	0.836
	108	0.844	0.844
	109	0.852	0.852
	110	0.859	0.859
	111	0.867	0.867

	112	0.875	0.875
	113	0.883	0.883
	114	0.891	0.891
	115	0.898	0.898
	116	0.906	0.906
	117	0.914	0.914
	118	0.922	0.922
	119	0.930	0.930
	120	0.938	0.938
	121	0.945	0.945
	122	0.953	0.953
	123	0.961	0.961
	124	0.969	0.969
	125	0.977	0.977
	126	0.984	0.984
	127	0.992	0.992

	128	0.250	0.750
	129	0.254	0.762
	130	0.258	0.773
	131	0.262	0.785
	132	0.266	0.797
	133	0.270	0.809
	134	0.273	0.820
	135	0.277	0.832
	136	0.281	0.844
	137	0.285	0.855
	138	0.289	0.867
	139	0.293	0.879
	140	0.297	0.891
	141	0.301	0.902
	142	0.305	0.914
	143	0.309	0.926

	144	0.312	0.938
	145	0.316	0.949
	146	0.320	0.961
	147	0.324	0.973
	148	0.328	0.984
	149	0.332	0.996
	150	0.336	1.008
	151	0.340	1.020
	152	0.344	1.031
	153	0.348	1.043
	154	0.352	1.055
	155	0.355	1.066
	156	0.359	1.078
	157	0.363	1.090
	158	0.367	1.102
	159	0.371	1.113

	160	0.375	1.125
	161	0.379	1.137
	162	0.383	1.148
	163	0.387	1.160
	164	0.391	1.172
	165	0.395	1.184
	166	0.398	1.195
	167	0.402	1.207
	168	0.406	1.219
	169	0.410	1.230
	170	0.414	1.242
	171	0.418	1.254
	172	0.422	1.266
	173	0.426	1.277
	174	0.430	1.289
	175	0.434	1.301

	176	0.438	1.312
	177	0.441	1.324
	178	0.445	1.336
	179	0.449	1.348
	180	0.453	1.359
	181	0.457	1.371
	182	0.461	1.383
	183	0.465	1.395
	184	0.469	1.406
	185	0.473	1.418
	186	0.477	1.430
	187	0.480	1.441
	188	0.484	1.453
	189	0.488	1.465
	190	0.492	1.477
	191	0.496	1.488

	192	0.500	1.500
	193	0.508	1.523
	194	0.516	1.547
	195	0.523	1.570
	196	0.531	1.594
	197	0.539	1.617
	198	0.547	1.641
	199	0.555	1.664
	200	0.563	1.687
	201	0.570	1.711
	202	0.578	1.734
	203	0.586	1.758
	204	0.594	1.781
	205	0.602	1.805
	206	0.609	1.828
	207	0.617	1.852

	208	0.625	1.875
	209	0.633	1.898
	210	0.641	1.922
	211	0.648	1.945
	212	0.656	1.969
	213	0.664	1.992
	214	0.672	2.016
	215	0.680	2.039
	216	0.688	2.062
	217	0.695	2.086
	218	0.703	2.109
	219	0.711	2.133
	220	0.719	2.156
	221	0.727	2.180
	222	0.734	2.203
	223	0.742	2.227

	224	0.750	2.250
	225	0.758	2.273
	226	0.766	2.297
	227	0.773	2.320
	228	0.781	2.344
	229	0.789	2.367
	230	0.797	2.391
	231	0.805	2.414
	232	0.813	2.437
	233	0.820	2.461
	234	0.828	2.484
	235	0.836	2.508
	236	0.844	2.531
	237	0.852	2.555
	238	0.859	2.578
	239	0.867	2.602

	240	0.875	2.625
	241	0.883	2.648
	242	0.891	2.672
	243	0.898	2.695
	244	0.906	2.719
	245	0.914	2.742
	246	0.922	2.766
	247	0.930	2.789
	248	0.938	2.812
	249	0.945	2.836
	250	0.953	2.859
	251	0.961	2.883
	252	0.969	2.906
	253	0.977	2.930
	254	0.984	2.953
