ping2inch.ino
FASTMATH_LIB_VERSION: 0.2.1

ping2inch ref	38.1696
ping2inch fast	4.3384
ping2sixteenths ref	38.9048
ping2sixteenths fast	8.5508

verify I
0	0.0	2	inf		0	2	inf	
10	0.1	2	14.94		2	3	1.40	
20	0.3	2	7.47		4	5	1.17	
30	0.4	2	4.98		6	6	0.93	
40	0.5	2	3.74		9	9	1.05	
50	0.7	2	2.99		11	11	1.03	
60	0.8	2	2.49		13	12	0.93	
70	0.9	2	2.13		15	15	1.00	
80	1.1	2	1.87		17	18	1.05	
90	1.2	2	1.66		19	19	0.99	
100	1.3	2	1.49		21	21	0.98	
110	1.5	2	1.36		24	22	0.93	
120	1.6	2	1.25		26	25	0.97	
130	1.7	3	1.72		28	29	1.04	
140	1.9	3	1.60		30	30	1.00	
150	2.0	3	1.49		32	32	1.00	
160	2.1	3	1.40		34	35	1.02	
170	2.3	3	1.32		36	36	0.99	
180	2.4	3	1.25		39	38	0.99	
190	2.5	3	1.18		41	39	0.96	

verify II
200	2.7	3	1.12		43	43	1.00	
250	3.3	3	0.90		54	52	0.97	
300	4.0	5	1.25		64	63	0.98	
350	4.7	5	1.07		75	73	0.97	
400	5.4	6	1.12		86	86	1.00	
450	6.0	6	1.00		96	96	1.00	
500	6.7	6	0.90		107	105	0.98	
550	7.4	8	1.09		118	117	0.99	
600	8.0	8	1.00		129	128	1.00	
650	8.7	9	1.03		139	139	1.00	
700	9.4	9	0.96		150	148	0.99	
750	10.0	9	0.90		161	158	0.98	
800	10.7	11	1.03		171	171	1.00	
850	11.4	11	0.97		182	181	0.99	
900	12.0	12	1.00		193	192	1.00	
950	12.7	12	0.94		203	201	0.99	

verify III
1000	13.4	12	0.90		214	212	0.99	
2000	26.8	25	0.93		428	427	1.00	
3000	40.2	39	0.97		643	640	1.00	
4000	53.5	52	0.97		857	855	1.00	
5000	66.9	66	0.99		1071	1070	1.00	
6000	80.3	78	0.97		1285	1283	1.00	
7000	93.7	92	0.98		1499	1497	1.00	
8000	107.1	105	0.98		1713	1712	1.00	
9000	120.5	120	1.00		1928	1926	1.00	
10000	133.9	133	0.99		2142	2141	1.00	
11000	147.2	145	0.98		2356	2353	1.00	
12000	160.6	158	0.98		2570	2568	1.00	
13000	174.0	172	0.99		2784	2783	1.00	
14000	187.4	185	0.99		2998	2997	1.00	
15000	200.8	199	0.99		3213	3211	1.00	
16000	214.2	212	0.99		3427	3426	1.00	
17000	227.6	227	1.00		3641	3640	1.00	
18000	240.9	240	1.00		3855	3855	1.00	
19000	254.3	254	1.00		4069	4068	1.00	
20000	267.7	267	1.00		4283	4283	1.00	
21000	281.1	281	1.00		4498	4498	1.00	
22000	294.5	292	0.99		4712	4710	1.00	
23000	307.9	306	0.99		4926	4924	1.00	
24000	321.3	319	0.99		5140	5139	1.00	
25000	334.6	334	1.00		5354	5353	1.00	
26000	348.0	347	1.00		5569	5568	1.00	
27000	361.4	360	1.00		5783	5780	1.00	
28000	374.8	373	1.00		5997	5995	1.00	
29000	388.2	387	1.00		6211	6210	1.00	
30000	401.6	400	1.00		6425	6424	1.00	
