FASTMATH_LIB_VERSION: 0.2.0

pingRef	38.0260
ping2cm	4.6528
ping2mm	6.7912

verify I
0	0.0	1	inf		0.0	2	inf	
10	0.3	1	2.94		3.4	4	1.18	
20	0.7	1	1.47		6.8	8	1.18	
30	1.0	1	0.98		10.2	10	0.98	
40	1.4	2	1.47		13.6	14	1.03	
50	1.7	2	1.18		17.0	17	1.00	
60	2.0	2	0.98		20.4	20	0.98	
70	2.4	3	1.26		23.8	24	1.01	
80	2.7	3	1.10		27.2	28	1.03	
90	3.1	3	0.98		30.6	30	0.98	
100	3.4	4	1.18		34.0	34	1.00	
110	3.7	4	1.07		37.4	36	0.96	
120	4.1	4	0.98		40.8	40	0.98	
130	4.4	5	1.13		44.2	45	1.02	
140	4.8	5	1.05		47.6	48	1.01	
150	5.1	5	0.98		51.0	51	1.00	
160	5.4	6	1.10		54.4	55	1.01	
170	5.8	6	1.04		57.8	57	0.99	
180	6.1	6	0.98		61.2	61	1.00	
190	6.5	6	0.93		64.6	63	0.98	

verify II
200	6.8	7	1.03		68.0	68	1.00	
250	8.5	8	0.94		85.0	83	0.98	
300	10.2	10	0.98		102.0	102	1.00	
350	11.9	11	0.92		119.0	118	0.99	
400	13.6	13	0.96		136.0	137	1.01	
450	15.3	15	0.98		153.0	153	1.00	
500	17.0	16	0.94		170.0	169	0.99	
550	18.7	19	1.02		187.0	187	1.00	
600	20.4	20	0.98		204.0	204	1.00	
650	22.1	22	1.00		221.0	221	1.00	
700	23.8	23	0.97		238.0	237	1.00	
750	25.5	25	0.98		255.0	253	0.99	
800	27.2	27	0.99		272.0	273	1.00	
850	28.9	28	0.97		289.0	289	1.00	
900	30.6	30	0.98		306.0	307	1.00	
950	32.3	31	0.96		323.0	322	1.00	

verify III
1000	34.0	33	0.97		340.0	339	1.00	
1500	51.0	49	0.96		510.0	509	1.00	
2000	68.0	66	0.97		680.0	680	1.00	
2500	85.0	84	0.99		850.0	850	1.00	
3000	102.0	100	0.98		1020.0	1019	1.00	
3500	119.0	117	0.98		1190.0	1189	1.00	
4000	136.0	134	0.99		1360.0	1360	1.00	
4500	153.0	152	0.99		1530.0	1530	1.00	
5000	170.0	169	0.99		1700.0	1700	1.00	
5500	187.0	185	0.99		1870.0	1868	1.00	
6000	204.0	202	0.99		2040.0	2039	1.00	
6500	221.0	220	1.00		2210.0	2209	1.00	
7000	238.0	236	0.99		2380.0	2379	1.00	
7500	255.0	253	0.99		2550.0	2549	1.00	
8000	272.0	270	0.99		2720.0	2720	1.00	
8500	289.0	288	1.00		2890.0	2890	1.00	
9000	306.0	305	1.00		3060.0	3060	1.00	
9500	323.0	321	0.99		3230.0	3230	1.00	
10000	340.0	338	0.99		3400.0	3401	1.00	
