FASTMATH_LIB_VERSION: 0.2.0

ping2inch ref	38.1696
ping2inch fast	3.7728
ping2sixteenths ref	38.9052
ping2sixteenths fast	7.9852

verify I
0	0.0	2	inf		0	2	inf	
10	0.1	2	14.94		2	3	1.40	
20	0.3	2	7.47		4	5	1.17	
30	0.4	2	4.98		6	6	0.93	
40	0.5	2	3.74		9	9	1.05	
50	0.7	2	2.99		11	11	1.03	
60	0.8	2	2.49		13	12	0.93	
70	0.9	2	2.13		15	15	1.00	
80	1.1	2	1.87		17	18	1.05	
90	1.2	2	1.66		19	19	0.99	
100	1.3	2	1.49		21	21	0.98	
110	1.5	2	1.36		24	22	0.93	
120	1.6	2	1.25		26	25	0.97	
130	1.7	3	1.72		28	29	1.04	
140	1.9	3	1.60		30	30	1.00	
150	2.0	3	1.49		32	32	1.00	
160	2.1	3	1.40		34	35	1.02	
170	2.3	3	1.32		36	36	0.99	
180	2.4	3	1.25		39	38	0.99	
190	2.5	3	1.18		41	39	0.96	

verify II
200	2.7	3	1.12		43	43	1.00	
300	4.0	5	1.25		64	63	0.98	
400	5.4	6	1.12		86	86	1.00	
500	6.7	6	0.90		107	105	0.98	
600	8.0	8	1.00		129	128	1.00	
700	9.4	9	0.96		150	148	0.99	
800	10.7	11	1.03		171	171	1.00	
900	12.0	12	1.00		193	192	1.00	

verify III
1000	13.4	12	0.90		214	212	0.99	
2000	26.8	25	0.93		428	427	1.00	
3000	40.2	39	0.97		643	640	1.00	
4000	53.5	52	0.97		857	855	1.00	
5000	66.9	66	0.99		1071	1070	1.00	
6000	80.3	78	0.97		1285	1283	1.00	
7000	93.7	92	0.98		1499	1497	1.00	
8000	107.1	105	0.98		1713	1712	1.00	
9000	120.5	120	1.00		1928	1926	1.00	
10000	133.9	133	0.99		2142	2141	1.00	
